
#OTU ID	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	105CHE6WT	106CHE6WT	107CHE6KO	108CHE6KO	109CHE6WT	10CMK6KO	110CHE6WT	111CHE6KO	112CHE6KO	113CHE6WT	114CHE6WT	115CHE6KO	116CHE6KO	11CMK6WT	12CMK6WT	13CMK6HET	14CMK6KO	15CMK6HET	16CMK6KO	17CMK6WT	18CMK6KO	19CMK6WT	1CMK6WT	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	25CMK6KO	26CMK6WT	27CMK6WT	28CMK6KO	29CMK6WT	2CMK6KO	30CMK6KO	31CMK6WT	32CMK6KO	33CMK6WT	34CMK6KO	35CMK6KO	36CMK6WT	37CMK6WT	38CMK6KO	39CMK6KO	3CMK6WT	40CMK6WT	41CMK8WT	42CMK8KO	43CMK8WT	44CMK8KO	45CMK8WT	46CMK8WT	47CMK8KO	48CMK8KO	49CMK8KO	4CMK6KO	50CMK8KO	51CMK8WT	52CMK8WT	53CMK8HET	54CMK8KO	55CMK8HET	56CMK8KO	57CMK8WT	58CMK8KO	59CMK8WT	5CMK6WT	60CMK8KO	61CMK8WT	62CMK8KO	63CMK8WT	64CMK8KO	65CMK8KO	66CMK8WT	67CMK8WT	68CMK8KO	69CMK8WT	6CMK6WT	70CMK8KO	71CMK8WT	72CMK8KO	73CMK8WT	74CMK8KO	75CMK8KO	76CMK8WT	77CMK8WT	78CMK8KO	79CMK8KO	7CMK6KO	80CMK8WT	81CHE6WT	82CHE6WT	83CHE6KO	84CHE6KO	85CHE6WT	86CHE6WT	87CHE6KO	88CHE6KO	89CHE6WT	8CMK6KO	90CHE6WT	91CHE6KO	92CHE6KO	93CHE6WT	94CHE6WT	95CHE6KO	96CHE6KO	97CHE6WT	98CHE6WT	99CHE6KO	9CMK6KO
k__Bacteria;p__Actinobacteria	0.00319724545007	0.00243605359318	0.0011135857461	0.00131246845028	0.00197044334975	0.000437636761488	0.00801226224483	0.000206483584555	0.00126839167935	0.0019291298609	7.14285714286e-05	0.001728744303	0.00260684640187	0.00344959754695	0.00243732590529	0.00102138525375	0.00105460510898	0.000954653937947	0.000353946503514	0.00049540375406	0.000203396725313	0.000596391829432	0.000253100480891	0.000388138487812	0.000484590036829	0.000205086136177	0.000348108609886	0.000114771031792	0.000287790488524	0.000670421024403	0.000106010813103	0.000198899423192	0.000325354403904	0.000198231772589	0.000510576221736	0.00118530225207	0.000184034966644	0.000188394875659	0.000314722729276	0.000209139391404	0.00022040996253	0.000653114539962	0.0	0.0	8.75043752188e-05	0.000211074368536	0.000418060200669	0.000635970490969	0.000141462724572	0.000319556881125	0.000353785504902	0.000342539070863	8.81562128091e-05	0.000383141762452	5.46358520461e-05	0.000131501084884	0.000272851296044	0.000616332819723	0.000467040298906	0.000190949016613	0.000306297476109	0.00026073919562	0.000486381322957	0.00121404064397	0.000487974904148	0.00043594693903	0.0	0.000133315557926	0.000885582713425	0.0	0.000138725116182	0.000227859638463	0.00029540352121	8.1499592502e-05	0.000211670076907	0.0	0.000324412003244	0.000165025578965	0.000646099176224	0.000546089995631	7.53125470703e-05	0.000481132723899	0.000494629734313	0.00076587722399	0.000705094306363	0.00034485136906	0.000792455820588	0.000256344527044	0.000434279096699	0.000878168725484	0.000200702458605	0.000202963263649	0.000985486471958	0.000317636782339	0.000463361355663	0.00284390996994	0.00093370681606	0.00457263454098	0.00192335090469	0.00176444640494	0.0024440239672	0.00662581932174	0.00281743050338	0.00108270175731	0.000225191412701	0.00232491933953	0.000320574469449	0.000717566016073	0.00545069964204	0.00582352196481	0.00195131970833	0.00495443687517	0.00664127356187	0.00263784340217	0.00228141571094	8.43170320405e-05
k__Bacteria;p__Bacteroidetes	0.754713887523	0.869062119367	0.723385300668	0.742352347299	0.743119868637	0.8352297593	0.720476555424	0.880721315989	0.774395399966	0.839374555792	0.764285714286	0.728587144429	0.853948000274	0.911396448192	0.662256267409	0.711330992659	0.722404499648	0.608512330947	0.763209789149	0.735894754225	0.849384724906	0.769867302818	0.877499367249	0.739015680795	0.647315371196	0.773243095433	0.861916918078	0.895214047974	0.80552557738	0.77829176723	0.834888158592	0.866273287807	0.79084359749	0.872973080125	0.794821298322	0.706193204267	0.867724867725	0.889726199447	0.831686284383	0.69805500366	0.756887811329	0.860070209813	0.896603625417	0.727697788333	0.818865943297	0.863857032294	0.789381270903	0.781353345205	0.723015985288	0.93757988922	0.807186899828	0.878484264611	0.856173138802	0.888058748404	0.881057750096	0.867644158064	0.806548431105	0.663020030817	0.768414731785	0.703965374578	0.836988483215	0.94165960498	0.772697795071	0.834098706783	0.841547577553	0.838824188827	0.779717373234	0.69217437675	0.828374070138	0.840812040602	0.784213081778	0.897766975543	0.808992083186	0.68337408313	0.6956889861	0.531951089846	0.730900243309	0.846966279773	0.812631238895	0.818479685452	0.708917005573	0.870987696749	0.679479932165	0.79291858136	0.829014630707	0.840402786399	0.706870591964	0.879176279586	0.759409380428	0.797552836485	0.862117410938	0.82091874704	0.732037269307	0.669101881998	0.834050440193	0.830096692939	0.862914862915	0.772564192754	0.856461034335	0.873842082047	0.876064333018	0.824878882873	0.768595041322	0.887232447739	0.80798678877	0.879104194344	0.826056292877	0.891791044776	0.735437683046	0.851500189897	0.807127451987	0.693798106697	0.841781423967	0.868300842823	0.799852016278	0.773524451939
k__Bacteria;p__Cyanobacteria	0.000163961305132	0.0	0.0	0.0	0.000131362889984	0.0	6.96718456072e-05	0.0	0.0	0.000101533150574	0.0005	0.0	0.0	0.0	0.0	0.000127673156719	0.0	7.9554494829e-05	0.000505637862163	0.000550448615622	0.000406793450625	0.0	0.0	0.0	0.000193836014732	0.000410172272354	0.000116036203295	0.000688626190749	0.00064752859918	0.000335210512202	0.000265027032757	0.000464098654114	0.000139437601673	0.000198231772589	7.2939460248e-05	4.93875938364e-05	9.20174833218e-05	0.000690781210751	0.000314722729276	0.000104569695702	0.000881639850121	0.0	0.000196322230221	7.42170105388e-05	0.000437521876094	0.000844297474143	8.36120401338e-05	0.0	0.0	0.000585854282062	0.000454867077732	0.000128452151574	0.000396702957641	0.000191570881226	5.46358520461e-05	0.00098625813663	9.09504320146e-05	0.0	0.000133440085402	0.000572847049838	6.12594952218e-05	6.51847989049e-05	0.000162127107652	0.0	6.97107005925e-05	6.22781341471e-05	0.000184723376743	6.66577789628e-05	0.0	7.0003500175e-05	0.000277450232365	0.000151906425642	0.000177242112726	0.000244498777506	0.000493896846116	0.00116959064327	0.000243309002433	0.000165025578965	0.000646099176224	0.000327653997379	0.000225937641211	0.000137466492542	0.000989259468626	0.0	0.000264410364886	6.8970273812e-05	0.000237736746176	8.54481756814e-05	0.0001447596989	0.000292722908495	0.000100351229303	0.000135308842433	0.0	0.000397045977924	6.61944793804e-05	0.0	0.000254647313471	0.000211044671122	0.000356176093461	0.0	7.8839482813e-05	0.0	0.0	8.32847505622e-05	0.000300255216934	0.0	0.0	0.000143513203215	8.13537260007e-05	0.0	0.0	0.0	0.0	0.000128675287911	0.0	0.000590219224283
k__Bacteria;p__Deferribacteres	0.0	0.0	0.00022271714922	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000155255395125	9.69180073658e-05	0.0	0.0	0.0	0.0	6.70421024403e-05	0.0	0.0	4.64792005578e-05	0.0	0.0	9.87751876729e-05	0.0	0.0	0.00012588909171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.40781064045e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000243309002433	0.0	0.0	0.0	0.0	0.0	7.06613906162e-05	5.89136326146e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.43170320405e-05
k__Bacteria;p__Firmicutes	0.227824233481	0.127588306943	0.261804008909	0.230186774356	0.246239737274	0.162800875274	0.263568591932	0.114460733705	0.202350752579	0.156361051883	0.2285	0.25931164545	0.135007203128	0.0742302286955	0.323293871866	0.278455154804	0.269393016171	0.378679395386	0.230823684077	0.229867341884	0.123970304078	0.228268972715	0.104657048848	0.258344977488	0.301027330878	0.217391304348	0.103910420051	0.094686101228	0.188071084251	0.206958970233	0.133997667762	0.103825498906	0.17829421334	0.0980057883678	0.166156090445	0.230590675622	0.117966413619	0.101733232856	0.156165418267	0.288664644986	0.235397839982	0.133235366152	0.0823244552058	0.257236158528	0.163633181659	0.112572996552	0.194314381271	0.189137624014	0.270335266657	0.0559224541968	0.168199737188	0.103789338471	0.141887424516	0.103320561941	0.111511774026	0.114274442764	0.156525693497	0.325269645609	0.21663997865	0.283304690981	0.157498162215	0.0536470894987	0.204847600519	0.144893111639	0.143952596724	0.159245189014	0.210122841046	0.305492600987	0.157810839532	0.154007700385	0.12318790317	0.0895488379158	0.175115207373	0.272127139364	0.292175262824	0.263370547581	0.258150851582	0.117333186644	0.133984816669	0.137996941896	0.261334538334	0.118358650079	0.311546071227	0.182926829268	0.15820553499	0.153941651148	0.251842459783	0.113731521832	0.205993051534	0.181312569522	0.120020070246	0.172789391787	0.24995520516	0.319145557056	0.149202356523	0.157958885187	0.132925897632	0.216461484348	0.139549793418	0.121158653139	0.114317250079	0.163223140496	0.205860255447	0.107687182477	0.185482660261	0.113968494971	0.167532217734	0.103903559127	0.25040676863	0.133941005191	0.18239704221	0.280456515969	0.148744994628	0.12475069163	0.186027870268	0.222428330523
k__Bacteria;p__Proteobacteria	0.0140186915888	0.000761266747868	0.0132516703786	0.026148409894	0.00821018062397	0.00131291028446	0.00696718456072	0.00433615527566	0.0214780991037	0.00223372931262	0.00435714285714	0.010372465818	0.00720312821568	0.0108598441293	0.0120125348189	0.00893712097032	0.0064448089993	0.0114558472554	0.00146634980027	0.0204216436396	0.0	0.0	0.000253100480891	7.76276975625e-05	0.00523357239775	0.00567404976757	0.00116036203295	0.00172156547687	0.00215842866393	0.00918476803433	0.00233223788826	0.00198899423192	0.014501510574	0.00190302501685	0.0142231947484	0.0228170683524	0.00547504025765	0.00521225822658	0.0112670737081	0.0128620725714	0.00374696936302	0.00571475222467	0.00209410378902	0.00972242838058	0.000437521876094	0.00225145993105	0.0142140468227	0.0256932078352	0.00311217994059	0.00181082232637	0.0164257555848	0.0019267822736	0.000837484021686	0.00383141762452	0.00273179260231	0.00315602603721	0.0121873578899	0.00631741140216	0.0114091273018	0.0109477436191	0.00441068365597	0.00293331595072	0.0177529182879	0.0119292689364	0.00027884280237	0.0	0.000277085065115	0.0	0.0106269925611	0.00175008750438	0.000901713255185	0.00250645602309	0.00679428098783	0.00855745721271	0.00712622592253	0.00350877192982	0.00502838605028	0.000990153473788	0.00314973348409	0.0109217999126	0.00534719084199	0.00213073063441	0.00544092707744	0.0222104394957	0.00705094306363	0.00427615697634	0.0128377842935	0.00469964966248	0.00550086855819	0.0165681166208	0.0153537380833	0.00304444895474	0.0150510661172	0.00770269197173	0.00840669888131	0.00853172990981	0.00186741363212	0.00619064368625	0.00099729306169	0.00308778120865	0.00709555345317	0.00270732402394	0.0220698722765	0.00349795952361	0.00225191412701	0.00441260201177	0.00500096172341	0.00129161882893	0.00813537260007	0.00860868464363	0.00852418609428	0.0206139962842	0.00253931047954	0.0040532715692	0.0113454186706	0.00261382799325
k__Bacteria;p__TM7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.38365783594e-05	0.0	0.0	0.000101127572433	0.0	0.0	0.0	0.000126550240445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96463545177e-05	0.0	0.0	0.0	0.0	0.0	5.22848478511e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000141462724572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000181900864029	0.0	0.0	6.36496722042e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00035423308537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000141322781232	0.0	0.0	0.0	7.92455820588e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1245369051e-05	0.0	0.0	0.0	4.74473334599e-05	0.0	7.17566016073e-05	8.13537260007e-05	0.0	0.0	0.0	0.0	6.43376439555e-05	0.0	0.0
k__Bacteria;p__Tenericutes	8.1980652566e-05	0.000152253349574	0.00022271714922	0.0	0.000328407224959	0.000218818380744	0.000766390301679	0.000275311446073	0.00050735667174	0.0	0.00178571428571	0.0	0.00123482197983	0.0	0.0	6.38365783594e-05	0.000703070072651	0.000318217979316	0.00283157202811	0.0015963009853	0.0	0.000820038765469	0.0	0.00116441546344	0.00116301608839	0.000136724090785	0.000464144813182	0.00120509583381	0.0	6.70421024403e-05	0.00037103784586	0.00145859577007	0.000697188008366	0.000356817190659	0.000583515681984	0.000395100750691	0.000644122383253	0.00156995729716	0.00012588909171	0.0	0.00198368966277	0.000244917952486	0.000392644460441	0.000296868042155	0.000787539376969	7.03581228453e-05	0.000919732441472	0.00178071737471	0.00240486631773	0.000745632722625	0.000555948650561	0.000899165061015	0.000176312425618	0.0	0.000819537780692	0.000394503254652	0.0	0.000154083204931	0.000867360555111	0.000509197377634	0.0	0.0	0.00210765239948	0.00131960939562	0.000209132101778	0.000871893878059	0.0	0.000599920010665	0.00070846617074	0.0	0.000277450232365	0.000455719276925	0.0	0.00130399348003	0.00119946376914	0.000531632110579	0.000162206001622	0.00132020463172	0.000646099176224	0.00120139799039	0.000753125470703	0.00123719843288	0.000706613906162	0.000589136326146	0.00334919795523	0.000413821642872	7.92455820588e-05	8.54481756814e-05	0.0001447596989	0.000117089163398	0.00180632212745	0.0012177795819	0.000806307113421	0.00142936552053	0.00264777917522	0.000487527423418	0.00110347169171	0.0	0.000641116968229	0.000147037200412	0.0	0.00242234254773	0.000657400450789	0.000416423752811	0.00367812640745	9.48946669197e-05	0.00108995319613	0.00208094144661	0.000406768630003	0.000126598303583	0.0	0.000176944174113	0.000292997363024	6.43376439555e-05	0.000493279072635	0.000252951096121
k__Bacteria;p__Verrucomicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.000139343691214	0.0	0.0	0.0	0.0005	0.0	0.0	6.38814360547e-05	0.0	0.0	0.0	0.0	0.000707893007028	0.0111741068971	0.02603478084	0.000447293872074	0.0172108327006	0.000853904673187	0.0444853653809	0.00293956795187	0.0320840102112	0.00636979226443	0.00330959061803	0.00442477876106	0.0280398600657	0.0257906252072	0.0151522193818	0.0263251793998	0.0236323851204	0.0386704859739	0.00791350356568	0.00087917608641	0.0	5.22848478511e-05	0.000881639850121	8.16393174953e-05	0.0183888488973	0.0049725397061	0.0157507875394	0.0201927812566	0.00066889632107	0.00139913508013	0.000848776347432	0.00303579037069	0.00682300616598	0.0144294583601	0.000396702957641	0.00421455938697	0.00376987379118	0.0134131106582	0.0241928149159	0.00462249614792	0.00206832132373	0.000445547705429	0.000735113942661	0.00143406557591	0.00194552529183	0.00654526260227	0.0134541652144	0.000560503207324	0.00969797727902	0.00153312891614	0.0012398157988	0.0033601680084	0.0910036762156	0.00934224517697	0.00862578281933	0.0343113284434	0.0031044944613	0.199468367889	0.00494728304947	0.0330601243193	0.0482959134227	0.0305264307558	0.0233468895918	0.00666712488831	0.00113058224986	0.000530222693531	0.00141018861273	0.000551762190496	0.0272604802282	0.00196530804067	0.0283729009844	0.00327849657514	0.00040140491721	0.00169136053041	0.0011646658305	0.00190582069404	0.00516316939167	8.12545705696e-05	0.0	0.0	7.12352186921e-05	0.0	0.0	7.1245369051e-05	0.0	0.0	7.50638042336e-05	4.74473334599e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000421585160202
